Store ID,Product ID,Year of Date,Week of Date,Count of sales,Week
1,1,2017,Week 52,18,52
1,1,2017,Week 51,1,51
1,1,2017,Week 50,6,50
1,1,2017,Week 49,14,49
1,1,2017,Week 48,8,48
1,1,2017,Week 47,9,47
1,1,2017,Week 46,32,46
1,1,2017,Week 45,25,45
1,1,2017,Week 42,8,42
1,1,2017,Week 41,28,41
1,1,2017,Week 40,15,40
1,1,2017,Week 38,24,38
1,1,2017,Week 36,9,36
1,1,2017,Week 35,12,35
1,1,2017,Week 33,11,33
1,1,2017,Week 31,8,31
1,1,2017,Week 30,11,30
1,1,2017,Week 29,13,29
1,1,2017,Week 27,10,27
1,1,2017,Week 26,6,26
1,1,2017,Week 25,9,25
1,1,2017,Week 24,43,24
1,1,2017,Week 23,29,23
1,1,2017,Week 21,7,21
1,1,2017,Week 20,50,20
1,1,2017,Week 19,6,19
1,1,2017,Week 18,35,18
1,1,2017,Week 17,11,17
1,1,2017,Week 16,28,16
1,1,2017,Week 15,12,15
1,1,2017,Week 14,6,14
1,1,2017,Week 13,18,13
1,1,2017,Week 12,43,12
1,1,2017,Week 11,13,11
1,1,2017,Week 9,46,9
1,1,2017,Week 8,4,8
1,1,2017,Week 7,33,7
1,1,2017,Week 5,16,5
1,1,2017,Week 4,9,4
1,1,2017,Week 3,10,3
1,1,2017,Week 2,3,2
1,1,2017,Week 1,15,1
1,1,2018,Week 39,32,39
1,1,2018,Week 36,11,36
1,1,2018,Week 35,4,35
1,1,2018,Week 32,3,32
1,1,2018,Week 31,8,31
1,1,2018,Week 30,20,30
1,1,2018,Week 29,5,29
1,1,2018,Week 28,10,28
1,1,2018,Week 27,2,27
1,1,2018,Week 26,11,26
1,1,2018,Week 25,4,25
1,1,2018,Week 24,6,24
1,1,2018,Week 23,5,23
1,1,2018,Week 21,5,21
1,1,2018,Week 20,11,20
1,1,2018,Week 19,13,19
1,1,2018,Week 18,20,18
1,1,2018,Week 17,12,17
1,1,2018,Week 14,9,14
1,1,2018,Week 13,2,13
1,1,2018,Week 12,35,12
1,1,2018,Week 11,9,11
1,1,2018,Week 10,4,10
1,1,2018,Week 9,23,9
1,1,2018,Week 7,7,7
1,1,2018,Week 6,13,6
1,1,2018,Week 5,10,5
1,1,2018,Week 4,15,4
1,1,2018,Week 3,14,3
1,2,2017,Week 51,38,51
1,2,2017,Week 50,18,50
1,2,2017,Week 49,11,49
1,2,2017,Week 48,4,48
1,2,2017,Week 47,8,47
1,2,2017,Week 46,22,46
1,2,2017,Week 44,6,44
1,2,2017,Week 43,8,43
1,2,2017,Week 39,19,39
1,2,2017,Week 32,23,32
1,2,2017,Week 30,11,30
1,2,2017,Week 28,8,28
1,2,2017,Week 26,6,26
1,2,2017,Week 25,11,25
1,2,2017,Week 23,25,23
1,2,2017,Week 17,5,17
